101399,Alison Brandeis,North East,Bravo,Bravo CrossFit,Female,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101400,Juan Gonzalez,North Central,CrossFit Dubuque,CrossFit Dubuque,Male,21,5'7",161 lb,--,--,--,--,--,--,--,--,--,--,--,--
101401,Daniel huhu,Australia,,,Male,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101402,Natalie Hanson,North West,CrossFit Alaska,CrossFit Alaska,Female,23,5'3",155 lb,5:27,10:18,2:50,23:32,324,--,--,190 lb,145 lb,315 lb,305 lb,--
101403,Reece Jones,Australia,Crossfit Northside,CrossFit Northside,Male,27,185 cm,84 kg,6:12,0:00,0:00,33:38,0,1:18,0:00,95 kg,70 kg,170 kg,125 kg,36
101404,Silvia Sanchez,South East,,CrossFit AGX,Female,24,4'10",100 lb,3:45,9:16,--,--,--,--,--,110 lb,80 lb,195 lb,150 lb,38
101405,Michael Ruocco,Mid Atlantic,CrossFit Nittany,CrossFit Nittany,Male,44,5'10",207 lb,--,12:38,3:54,--,--,--,--,200 lb,155 lb,325 lb,310 lb,20
101406,Amanda Burge,Central East,CrossFit Praus,CrossFit Praus,Female,31,5'7",118 lb,--,--,--,--,--,--,--,--,--,--,--,--
101407,jacob keel-Sheehan,Australia,,,Male,17,178 cm,79 kg,4:15,--,--,--,--,--,--,80 kg,60 kg,170 kg,130 kg,13
101408,Natasha Steinberg,Africa,Cape CrossFit Avengers,Cape CrossFit,Female,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10141,Cheryl Goldenfield,,,,Female,28,4'10",--,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
101410,Peter Stamborski,South West,flatirons crossfit,Flatirons CrossFit,Male,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101412,Alexander Roman,Australia,CrossFit Aphesis,CrossFit Aphesis,Male,30,193 cm,100 kg,--,--,--,--,--,--,--,130 kg,105 kg,195 kg,170 kg,--
101413,Kelly Maxwell,Northern California,,Croga CrossFit,Female,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101414,Sarah McDowell,Canada East,Reebok CrossFit Woodbridge,Reebok CrossFit East Woodbridge,Female,33,5'4",140 lb,4:35,10:13,3:21,--,--,--,--,145 lb,110 lb,285 lb,225 lb,35
10142,Maggie Cohen,Mid Atlantic,Outlaw CrossFit,Outlaw CrossFit,Female,65,5'3",135 lb,0:00,0:00,0:00,0:00,--,2:50,0:00,50 lb,45 lb,185 lb,145 lb,--
101421,Eugene Low,Asia,,CrossFit Malaysia,Male,36,170 cm,76 kg,--,--,--,--,--,--,--,--,--,--,--,--
101424,Victoria Lichtiger,North East,,,Female,30,5'3",139 lb,17:03,--,--,--,--,--,33:12,75 lb,75 lb,170 lb,140 lb,9
101425,Chris Hernandez,South Central,C4 CrossFit,C4 CrossFit,Male,23,6'3",215 lb,--,--,--,--,--,--,--,245 lb,205 lb,405 lb,--,--
101426,Rob Williams,Mid Atlantic,,CrossFit Confortare,Male,28,5'9",150 lb,6:55,--,--,25:09,293,--,23:00,175 lb,--,300 lb,245 lb,--
101427,Phillip Ward,Australia,Crossfit Tenacity,CrossFit Tenacity,Male,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10143,tammy neff,Mid Atlantic,RAW Training,CrossFit R.A.W.,Female,45,5'7",--,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
101430,Isaac Higgs,Australia,CrossFit New Zealand,CrossFit New Zealand,Male,33,183 cm,89 lb,--,9:48,4:39,--,300,--,--,100 kg,80 kg,165 kg,135 kg,15
